// Contiene le regole utilizzate da Sequenze per compilare il file;;;;;;;;
// ayv.txt che verrà poi usato per chiamare il plug-in adatto;;;;;;;;
// ad elaborare una determinata immagine;;;;;;;;
// al posto del punto e virgola metto il carattere §;;;;;;;;
// N.B. si hanno 4 directions vup verticale a crescere, vdw vertivale a scendere ;;;;;;;;
// hsx orizz. verso sx, hdx orizz. verso dx                  ;;;;;;;;
// CODICE;COMMENTO;DA PASSARE;TOTALI;GROUP;COIL;DIRECTION;DEPTH;PLUGIN
//SIEMENS SIMPHONY +  AVANTO;;;;;;;;
// BODY;;;;;;;;
BUSA_;Uniformità Assiale Body;2;2;0;xxx;x;x;p12rmn_
BUSS_;Uniformità Sagittale Body;2;2;0;xxx;x;x;p12rmn_
BUSC_;Uniformità Coronale Body;2;2;0;xxx;x;x;p12rmn_
BDSA_;DGP Single Body;1;1;0;xxx;x;x;p8rmn_
BDMA_;DGP Multi Body;1;3;0;xxx;x;x;p8rmn_
BTLX_;Localizer Thickness Body;0;0;0;xxx;x;x;none_
BT2A_;Thickness 2mm Sing.Body;1;1;0;xxx;x;x;p6rmn_
BT5A_;Thickness 5mm Sing.Body;1;1;0;xxx;x;x;p6rmn_
BTMA_;Thickness 2mm Multi Body;15;15;0;xxx;x;x;p6rmn_
BRKA_;Risoluzione 1024 Body;1;1;0;xxx;x;x;p4rmn_
BR5A_;Risoluzione 512 Body;1;1;0;xxx;x;x;p4rmn_
BR2A_;Risoluzione 256 Body;1;1;0;xxx;x;x;p4rmn_
//;;;;;;;;
// HEAD;;;;;;;;
HUSA_;Uniformità Assiale Head;2;2;0;xxx;x;x;p12rmn_
HUSS_;Uniformità Sagittale Head;2;2;0;xxx;x;x;p12rmn_
HUSC_;Uniformità Coronale Head;2;2;0;xxx;x;x;p12rmn_
HDSA_;DGP Single Head;1;1;0;xxx;x;x;p8rmn_
HDMA_;DGP Multi Head;1;3;0;xxx;x;x;p8rmn_
HTLX_;Localizer Thickness Head;0;0;0;xxx;x;x;none_
HT2A_;Thickness 2mm Sing.Head;1;1;0;xxx;x;x;p6rmn_
HT5A_;Thickness 5mm Sing.Head;1;1;0;xxx;x;x;p6rmn_
HTMA_;Thickness 2mm Multi Head;15;15;0;xxx;x;x;p6rmn_
HWLX_;Localizer Warp Head;0;0;0;xxx;x;x;none_
HWSA_;Warp Assiale Head;1;1;0;xxx;x;x;p7rmn_
HRKA_;Risoluzione 1024 Head;1;1;0;xxx;x;x;p4rmn_
HR5A_;Risoluzione 512 Head;1;1;0;xxx;x;x;p4rmn_
HR2A_;Risoluzione 256 Head;1;1;0;xxx;x;x;p4rmn_
//;;;;;;;;
// HEAD ARRAY AERA SAVE UNCOMBINED;;;;;;;;
// DA LUGLIO 2012 ANCHE HEAD ARRAY AVANTO SAVE UNCOMBINED;;;;;;;;
// RISERVIAMO IL CODICE HVSA_ HVSS_ HVSC_ perchè sostituito in vba a questi;;;;;;;;
// IN FUTURO CAMBIEREMO IL CODICE NELLA SEQUENZA AERA;;;;;;;;
// --------------------------------------;;;;;;;;

TEST1;Uniformità Assiale Head;4;4;0;H11;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;H12;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;H13;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;H14;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;H21;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;H22;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;H23;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;H24;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;H31;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;H32;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;H33;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;H34;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;H41;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;H42;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;H43;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;H44;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;HE1-4;x;30;p12rmn_



// --------------------------------------;;;;;;;;
HUSAA;Uniformità Assiale Head;2;2;0;H11;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;H12;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;H13;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;H14;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;H21;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;H22;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;H23;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;H24;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;H31;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;H32;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;H33;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;H34;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;H41;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;H42;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;H43;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;H44;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;HE1-4;x;30;p12rmn_
//;;;;;;;;
HUSSA;Uniformità Sagittale Head;2;2;0;H11;x;30;p10rmn_
